[PiCamera @ factory.py:85][DEBUG] 2017-11-10 18:28:59,547: Logging to: logs/2017_Nov_10/PiCamera/18_28_59.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 18:28:59,575: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 18:28:59,838: PiCamera initialized: <picamera.camera.PiCamera object at 0x6df92718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 18:28:59,839: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 18:29:11,832: [log buffer start]
[DEBUG, 1510356543.6115983]: PiCamera image received: ImageMessage(t=1510356543.6115878, n=3)
[DEBUG, 1510356543.7116916]: PiCamera image received: ImageMessage(t=1510356543.7116814, n=5)
[DEBUG, 1510356543.7772863]: PiCamera image received: ImageMessage(t=1510356543.7772777, n=7)
[DEBUG, 1510356543.8098624]: PiCamera image received: ImageMessage(t=1510356543.8098543, n=8)
[DEBUG, 1510356543.842818]: PiCamera image received: ImageMessage(t=1510356543.842803, n=9)
[DEBUG, 1510356543.8757262]: PiCamera image received: ImageMessage(t=1510356543.8757107, n=10)
[DEBUG, 1510356543.909086]: PiCamera image received: ImageMessage(t=1510356543.9090707, n=11)
[DEBUG, 1510356543.9415224]: PiCamera image received: ImageMessage(t=1510356543.9415073, n=12)
[DEBUG, 1510356543.9738915]: PiCamera image received: ImageMessage(t=1510356543.973876, n=13)
[DEBUG, 1510356544.006869]: PiCamera image received: ImageMessage(t=1510356544.0068533, n=14)
[DEBUG, 1510356544.0402467]: PiCamera image received: ImageMessage(t=1510356544.0402315, n=15)
[DEBUG, 1510356544.0735083]: PiCamera image received: ImageMessage(t=1510356544.0734928, n=16)
[DEBUG, 1510356544.1727197]: PiCamera image received: ImageMessage(t=1510356544.1727035, n=17)
[DEBUG, 1510356544.2057924]: PiCamera image received: ImageMessage(t=1510356544.2057767, n=18)
[DEBUG, 1510356544.2385135]: PiCamera image received: ImageMessage(t=1510356544.238498, n=19)
[DEBUG, 1510356544.3118844]: PiCamera image received: ImageMessage(t=1510356544.3118696, n=21)
[DEBUG, 1510356544.3471305]: PiCamera image received: ImageMessage(t=1510356544.347115, n=22)
[DEBUG, 1510356544.3798828]: PiCamera image received: ImageMessage(t=1510356544.3798666, n=23)
[DEBUG, 1510356544.414968]: PiCamera image received: ImageMessage(t=1510356544.4149537, n=24)
[DEBUG, 1510356544.4484105]: PiCamera image received: ImageMessage(t=1510356544.4483957, n=25)
[DEBUG, 1510356544.481252]: PiCamera image received: ImageMessage(t=1510356544.4812362, n=26)
[DEBUG, 1510356544.5139904]: PiCamera image received: ImageMessage(t=1510356544.5139747, n=27)
[DEBUG, 1510356544.5468783]: PiCamera image received: ImageMessage(t=1510356544.5468628, n=28)
[DEBUG, 1510356544.5802474]: PiCamera image received: ImageMessage(t=1510356544.580232, n=29)
[DEBUG, 1510356544.619867]: PiCamera image received: ImageMessage(t=1510356544.6198518, n=30)
[DEBUG, 1510356544.6526003]: PiCamera image received: ImageMessage(t=1510356544.6525857, n=31)
[DEBUG, 1510356544.6851013]: PiCamera image received: ImageMessage(t=1510356544.685087, n=32)
[DEBUG, 1510356544.7198677]: PiCamera image received: ImageMessage(t=1510356544.7198539, n=33)
[DEBUG, 1510356544.753308]: PiCamera image received: ImageMessage(t=1510356544.7532928, n=35)
[DEBUG, 1510356544.7858634]: PiCamera image received: ImageMessage(t=1510356544.7858484, n=36)
[DEBUG, 1510356544.8502784]: PiCamera image received: ImageMessage(t=1510356544.8502636, n=37)
[DEBUG, 1510356544.8844213]: PiCamera image received: ImageMessage(t=1510356544.8844068, n=38)
[DEBUG, 1510356544.9197292]: PiCamera image received: ImageMessage(t=1510356544.9197154, n=39)
