[PiCamera @ factory.py:85][DEBUG] 2017-11-10 15:59:42,850: Logging to: logs/2017_Nov_10/PiCamera/15_59_42.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 15:59:42,878: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 15:59:43,143: PiCamera initialized: <picamera.camera.PiCamera object at 0x6df80718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 15:59:43,144: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 15:59:57,120: [log buffer start]
[DEBUG, 1510347589.7868073]: PiCamera image received: ImageMessage(t=1510347589.7867904, n=66)
[DEBUG, 1510347589.9560442]: PiCamera image received: ImageMessage(t=1510347589.9560277, n=67)
[DEBUG, 1510347590.062202]: PiCamera image received: ImageMessage(t=1510347590.0621867, n=68)
[DEBUG, 1510347590.1276524]: PiCamera image received: ImageMessage(t=1510347590.1276371, n=69)
[DEBUG, 1510347590.1606147]: PiCamera image received: ImageMessage(t=1510347590.1605995, n=70)
[DEBUG, 1510347590.1930377]: PiCamera image received: ImageMessage(t=1510347590.1930223, n=71)
[DEBUG, 1510347590.2270179]: PiCamera image received: ImageMessage(t=1510347590.2270021, n=72)
[DEBUG, 1510347590.2611868]: PiCamera image received: ImageMessage(t=1510347590.2611723, n=73)
[DEBUG, 1510347590.2983253]: PiCamera image received: ImageMessage(t=1510347590.2983098, n=74)
[DEBUG, 1510347590.3397667]: PiCamera image received: ImageMessage(t=1510347590.3397508, n=75)
[DEBUG, 1510347590.4062247]: PiCamera image received: ImageMessage(t=1510347590.4062078, n=76)
[DEBUG, 1510347590.4399347]: PiCamera image received: ImageMessage(t=1510347590.43992, n=77)
[DEBUG, 1510347590.5082676]: PiCamera image received: ImageMessage(t=1510347590.5082526, n=78)
[DEBUG, 1510347590.5766194]: PiCamera image received: ImageMessage(t=1510347590.5766034, n=79)
[DEBUG, 1510347590.6436858]: PiCamera image received: ImageMessage(t=1510347590.643677, n=80)
[DEBUG, 1510347590.6779215]: PiCamera image received: ImageMessage(t=1510347590.6779125, n=81)
[DEBUG, 1510347590.7107522]: PiCamera image received: ImageMessage(t=1510347590.710743, n=82)
[DEBUG, 1510347590.7430236]: PiCamera image received: ImageMessage(t=1510347590.7430155, n=83)
[DEBUG, 1510347590.7759514]: PiCamera image received: ImageMessage(t=1510347590.7759433, n=84)
[DEBUG, 1510347590.8081782]: PiCamera image received: ImageMessage(t=1510347590.80817, n=85)
