[PiCamera @ factory.py:85][DEBUG] 2017-11-10 19:52:25,666: Logging to: logs/2017_Nov_10/PiCamera/19_52_25.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 19:52:25,696: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 19:52:25,961: PiCamera initialized: <picamera.camera.PiCamera object at 0x6deb1718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 19:52:25,962: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 19:52:39,418: [log buffer start]
[DEBUG, 1510361552.5274544]: PiCamera image received: ImageMessage(t=1510361552.5274384, n=66)
[DEBUG, 1510361552.560977]: PiCamera image received: ImageMessage(t=1510361552.5609615, n=67)
[DEBUG, 1510361552.5993288]: PiCamera image received: ImageMessage(t=1510361552.5992982, n=69)
[DEBUG, 1510361552.7006404]: PiCamera image received: ImageMessage(t=1510361552.7006254, n=70)
[DEBUG, 1510361552.7348707]: PiCamera image received: ImageMessage(t=1510361552.734855, n=71)
[DEBUG, 1510361552.7676575]: PiCamera image received: ImageMessage(t=1510361552.7676427, n=72)
[DEBUG, 1510361552.8415563]: PiCamera image received: ImageMessage(t=1510361552.841541, n=73)
[DEBUG, 1510361552.8763523]: PiCamera image received: ImageMessage(t=1510361552.876336, n=74)
[DEBUG, 1510361552.9095802]: PiCamera image received: ImageMessage(t=1510361552.909565, n=75)
[DEBUG, 1510361552.9765391]: PiCamera image received: ImageMessage(t=1510361552.9765236, n=76)
[DEBUG, 1510361553.009285]: PiCamera image received: ImageMessage(t=1510361553.0092697, n=77)
[DEBUG, 1510361553.0751202]: PiCamera image received: ImageMessage(t=1510361553.0751042, n=78)
[DEBUG, 1510361553.1110435]: PiCamera image received: ImageMessage(t=1510361553.1110244, n=79)
[DEBUG, 1510361553.144197]: PiCamera image received: ImageMessage(t=1510361553.144182, n=80)
[DEBUG, 1510361553.1886146]: PiCamera image received: ImageMessage(t=1510361553.1885982, n=82)
[DEBUG, 1510361553.224349]: PiCamera image received: ImageMessage(t=1510361553.2243335, n=83)
[DEBUG, 1510361553.2583709]: PiCamera image received: ImageMessage(t=1510361553.2583556, n=84)
[DEBUG, 1510361553.291725]: PiCamera image received: ImageMessage(t=1510361553.2917101, n=85)
[DEBUG, 1510361553.3886774]: PiCamera image received: ImageMessage(t=1510361553.3886614, n=86)
[DEBUG, 1510361553.421682]: PiCamera image received: ImageMessage(t=1510361553.4216666, n=87)
