[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:50:30,181: Logging to: logs/2017_Oct_27/PiCamera/15_50_30.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:50:30,223: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:50:30,489: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff10ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:50:30,490: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:50:32,519: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_50_30.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:50:42,528: [log buffer start]
[DEBUG, 1509133834.2752326]: PiCamera image received: ImageMessage(t=1509133834.2752142, n=5)
[DEBUG, 1509133834.3242333]: PiCamera image received: ImageMessage(t=1509133834.3242202, n=6)
[DEBUG, 1509133834.3579574]: PiCamera image received: ImageMessage(t=1509133834.357948, n=7)
[DEBUG, 1509133834.3910463]: PiCamera image received: ImageMessage(t=1509133834.391035, n=8)
[DEBUG, 1509133834.4238021]: PiCamera image received: ImageMessage(t=1509133834.4237933, n=9)
[DEBUG, 1509133834.4566145]: PiCamera image received: ImageMessage(t=1509133834.4566057, n=10)
[DEBUG, 1509133834.4888408]: PiCamera image received: ImageMessage(t=1509133834.4888313, n=11)
[DEBUG, 1509133834.5222278]: PiCamera image received: ImageMessage(t=1509133834.5222182, n=12)
[DEBUG, 1509133834.5557752]: PiCamera image received: ImageMessage(t=1509133834.5557578, n=13)
[DEBUG, 1509133834.5897634]: PiCamera image received: ImageMessage(t=1509133834.5897477, n=14)
[DEBUG, 1509133834.6238663]: PiCamera image received: ImageMessage(t=1509133834.623852, n=15)
[DEBUG, 1509133834.656562]: PiCamera image received: ImageMessage(t=1509133834.6565475, n=16)
[DEBUG, 1509133834.7245748]: PiCamera image received: ImageMessage(t=1509133834.7245615, n=17)
[DEBUG, 1509133834.757167]: PiCamera image received: ImageMessage(t=1509133834.7571523, n=18)
[DEBUG, 1509133834.8260696]: PiCamera image received: ImageMessage(t=1509133834.8260534, n=19)
[DEBUG, 1509133834.859836]: PiCamera image received: ImageMessage(t=1509133834.8598204, n=20)
[DEBUG, 1509133834.8925066]: PiCamera image received: ImageMessage(t=1509133834.8924901, n=21)
[DEBUG, 1509133834.9249897]: PiCamera image received: ImageMessage(t=1509133834.9249759, n=22)
[DEBUG, 1509133834.9581897]: PiCamera image received: ImageMessage(t=1509133834.958174, n=23)
[DEBUG, 1509133834.9902568]: PiCamera image received: ImageMessage(t=1509133834.9902422, n=24)
[DEBUG, 1509133835.0559447]: PiCamera image received: ImageMessage(t=1509133835.055929, n=25)
[DEBUG, 1509133835.0893884]: PiCamera image received: ImageMessage(t=1509133835.089373, n=26)
[DEBUG, 1509133835.1279113]: PiCamera image received: ImageMessage(t=1509133835.1278973, n=27)
[DEBUG, 1509133835.1657932]: PiCamera image received: ImageMessage(t=1509133835.1657798, n=29)
[DEBUG, 1509133835.1982205]: PiCamera image received: ImageMessage(t=1509133835.1982064, n=30)
[DEBUG, 1509133835.264562]: PiCamera image received: ImageMessage(t=1509133835.2645416, n=31)
[DEBUG, 1509133835.300043]: PiCamera image received: ImageMessage(t=1509133835.3000283, n=32)
[DEBUG, 1509133835.332498]: PiCamera image received: ImageMessage(t=1509133835.332483, n=33)
[DEBUG, 1509133835.3645298]: PiCamera image received: ImageMessage(t=1509133835.3645153, n=34)
[DEBUG, 1509133835.3974879]: PiCamera image received: ImageMessage(t=1509133835.3974733, n=35)
[DEBUG, 1509133835.4303062]: PiCamera image received: ImageMessage(t=1509133835.4302905, n=36)
[DEBUG, 1509133835.4625952]: PiCamera image received: ImageMessage(t=1509133835.4625785, n=37)
[DEBUG, 1509133835.5014782]: PiCamera image received: ImageMessage(t=1509133835.5014634, n=38)
[DEBUG, 1509133835.5372071]: PiCamera image received: ImageMessage(t=1509133835.5371916, n=39)
[DEBUG, 1509133835.570364]: PiCamera image received: ImageMessage(t=1509133835.5703485, n=40)
[DEBUG, 1509133835.6034074]: PiCamera image received: ImageMessage(t=1509133835.6033933, n=42)
[DEBUG, 1509133835.6715026]: PiCamera image received: ImageMessage(t=1509133835.6714852, n=43)
[DEBUG, 1509133835.7578733]: PiCamera image received: ImageMessage(t=1509133835.7578566, n=44)
[DEBUG, 1509133835.797967]: PiCamera image received: ImageMessage(t=1509133835.7979512, n=45)
[DEBUG, 1509133835.8944888]: PiCamera image received: ImageMessage(t=1509133835.8944745, n=46)
[DEBUG, 1509133836.0797844]: PiCamera image received: ImageMessage(t=1509133836.0797684, n=47)
[DEBUG, 1509133836.1437228]: PiCamera image received: ImageMessage(t=1509133836.143706, n=48)
[DEBUG, 1509133836.1771305]: PiCamera image received: ImageMessage(t=1509133836.177114, n=49)
[DEBUG, 1509133836.2432654]: PiCamera image received: ImageMessage(t=1509133836.2432492, n=50)
[DEBUG, 1509133836.2801337]: PiCamera image received: ImageMessage(t=1509133836.2800994, n=51)
[DEBUG, 1509133836.3200676]: PiCamera image received: ImageMessage(t=1509133836.3200502, n=52)
[DEBUG, 1509133836.3548994]: PiCamera image received: ImageMessage(t=1509133836.3548853, n=53)
[DEBUG, 1509133836.4195848]: PiCamera image received: ImageMessage(t=1509133836.4195697, n=54)
