[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:48:30,950: Logging to: logs/2017_Oct_27/PiCamera/15_48_30.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:48:30,992: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:48:31,258: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff00ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:48:31,259: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:48:33,291: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_48_30.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:48:43,236: [log buffer start]
[DEBUG, 1509133717.7247703]: PiCamera image received: ImageMessage(t=1509133717.7247536, n=58)
[DEBUG, 1509133717.7573445]: PiCamera image received: ImageMessage(t=1509133717.7573307, n=59)
[DEBUG, 1509133717.7895215]: PiCamera image received: ImageMessage(t=1509133717.7895062, n=60)
[DEBUG, 1509133717.8233085]: PiCamera image received: ImageMessage(t=1509133717.8232944, n=61)
[DEBUG, 1509133717.8939984]: PiCamera image received: ImageMessage(t=1509133717.8939836, n=62)
[DEBUG, 1509133717.9673712]: PiCamera image received: ImageMessage(t=1509133717.9673564, n=63)
[DEBUG, 1509133718.0483506]: PiCamera image received: ImageMessage(t=1509133718.0483353, n=64)
[DEBUG, 1509133718.1176517]: PiCamera image received: ImageMessage(t=1509133718.117637, n=65)
[DEBUG, 1509133718.1511889]: PiCamera image received: ImageMessage(t=1509133718.1511736, n=66)
[DEBUG, 1509133718.1840641]: PiCamera image received: ImageMessage(t=1509133718.1840496, n=67)
[DEBUG, 1509133718.2192764]: PiCamera image received: ImageMessage(t=1509133718.2192614, n=68)
[DEBUG, 1509133718.2853806]: PiCamera image received: ImageMessage(t=1509133718.2853658, n=69)
[DEBUG, 1509133718.3185859]: PiCamera image received: ImageMessage(t=1509133718.3185718, n=70)
[DEBUG, 1509133718.352258]: PiCamera image received: ImageMessage(t=1509133718.3522422, n=71)
[DEBUG, 1509133718.3861678]: PiCamera image received: ImageMessage(t=1509133718.3861532, n=72)
[DEBUG, 1509133718.451346]: PiCamera image received: ImageMessage(t=1509133718.4513295, n=73)
[DEBUG, 1509133718.4844904]: PiCamera image received: ImageMessage(t=1509133718.4844763, n=74)
[DEBUG, 1509133718.5536587]: PiCamera image received: ImageMessage(t=1509133718.5536506, n=76)
[DEBUG, 1509133718.5857334]: PiCamera image received: ImageMessage(t=1509133718.585726, n=77)
[DEBUG, 1509133718.65331]: PiCamera image received: ImageMessage(t=1509133718.6533022, n=78)
[DEBUG, 1509133718.685906]: PiCamera image received: ImageMessage(t=1509133718.6858978, n=79)
[DEBUG, 1509133718.718151]: PiCamera image received: ImageMessage(t=1509133718.718144, n=80)
[DEBUG, 1509133718.7501242]: PiCamera image received: ImageMessage(t=1509133718.7501166, n=81)
[DEBUG, 1509133718.78387]: PiCamera image received: ImageMessage(t=1509133718.7838619, n=82)
[DEBUG, 1509133718.816259]: PiCamera image received: ImageMessage(t=1509133718.8162513, n=83)
[DEBUG, 1509133718.849941]: PiCamera image received: ImageMessage(t=1509133718.8499331, n=84)
[DEBUG, 1509133718.8832474]: PiCamera image received: ImageMessage(t=1509133718.8832383, n=85)
[DEBUG, 1509133718.9153073]: PiCamera image received: ImageMessage(t=1509133718.9152994, n=86)
[DEBUG, 1509133718.9478095]: PiCamera image received: ImageMessage(t=1509133718.947795, n=87)
[DEBUG, 1509133718.9809594]: PiCamera image received: ImageMessage(t=1509133718.9809444, n=88)
[DEBUG, 1509133719.0138617]: PiCamera image received: ImageMessage(t=1509133719.0138474, n=89)
[DEBUG, 1509133719.1109307]: PiCamera image received: ImageMessage(t=1509133719.1109145, n=90)
[DEBUG, 1509133719.1435635]: PiCamera image received: ImageMessage(t=1509133719.1435487, n=91)
[DEBUG, 1509133719.2136533]: PiCamera image received: ImageMessage(t=1509133719.2136378, n=92)
[DEBUG, 1509133719.2486744]: PiCamera image received: ImageMessage(t=1509133719.2486587, n=93)
[DEBUG, 1509133719.2818952]: PiCamera image received: ImageMessage(t=1509133719.2818806, n=94)
[DEBUG, 1509133719.3273957]: PiCamera image received: ImageMessage(t=1509133719.3273795, n=95)
[DEBUG, 1509133719.3920927]: PiCamera image received: ImageMessage(t=1509133719.3920765, n=96)
[DEBUG, 1509133719.4246757]: PiCamera image received: ImageMessage(t=1509133719.4246602, n=97)
[DEBUG, 1509133719.4970634]: PiCamera image received: ImageMessage(t=1509133719.4970484, n=98)
[DEBUG, 1509133719.5649]: PiCamera image received: ImageMessage(t=1509133719.5648847, n=99)
[DEBUG, 1509133719.5978613]: PiCamera image received: ImageMessage(t=1509133719.5978465, n=100)
[DEBUG, 1509133719.663408]: PiCamera image received: ImageMessage(t=1509133719.6633945, n=101)
[DEBUG, 1509133719.695638]: PiCamera image received: ImageMessage(t=1509133719.6956232, n=102)
[DEBUG, 1509133719.7325113]: PiCamera image received: ImageMessage(t=1509133719.7324932, n=103)
[DEBUG, 1509133719.8112047]: PiCamera image received: ImageMessage(t=1509133719.8111885, n=104)
[DEBUG, 1509133719.8434074]: PiCamera image received: ImageMessage(t=1509133719.843393, n=105)
[DEBUG, 1509133719.920234]: PiCamera image received: ImageMessage(t=1509133719.9202197, n=106)
[DEBUG, 1509133719.9957638]: PiCamera image received: ImageMessage(t=1509133719.9957492, n=107)
[DEBUG, 1509133720.0285058]: PiCamera image received: ImageMessage(t=1509133720.0284905, n=108)
[DEBUG, 1509133720.0612278]: PiCamera image received: ImageMessage(t=1509133720.061213, n=109)
[DEBUG, 1509133720.158023]: PiCamera image received: ImageMessage(t=1509133720.1580093, n=110)
[DEBUG, 1509133720.1903825]: PiCamera image received: ImageMessage(t=1509133720.1903675, n=111)
[DEBUG, 1509133720.2573645]: PiCamera image received: ImageMessage(t=1509133720.2573502, n=112)
[DEBUG, 1509133720.2979991]: PiCamera image received: ImageMessage(t=1509133720.297984, n=113)
[DEBUG, 1509133720.3708622]: PiCamera image received: ImageMessage(t=1509133720.3708098, n=114)
[DEBUG, 1509133720.403938]: PiCamera image received: ImageMessage(t=1509133720.4039235, n=115)
[DEBUG, 1509133720.4789627]: PiCamera image received: ImageMessage(t=1509133720.4789474, n=116)
[DEBUG, 1509133720.517275]: PiCamera image received: ImageMessage(t=1509133720.5172606, n=117)
[DEBUG, 1509133720.593583]: PiCamera image received: ImageMessage(t=1509133720.5935686, n=118)
[DEBUG, 1509133720.6267495]: PiCamera image received: ImageMessage(t=1509133720.6267347, n=119)
[DEBUG, 1509133720.6599772]: PiCamera image received: ImageMessage(t=1509133720.6599622, n=120)
[DEBUG, 1509133720.7246509]: PiCamera image received: ImageMessage(t=1509133720.7246351, n=121)
[DEBUG, 1509133720.7900503]: PiCamera image received: ImageMessage(t=1509133720.790036, n=122)
[DEBUG, 1509133720.8230507]: PiCamera image received: ImageMessage(t=1509133720.8230367, n=123)
[DEBUG, 1509133720.8878717]: PiCamera image received: ImageMessage(t=1509133720.8878572, n=124)
[DEBUG, 1509133720.9206865]: PiCamera image received: ImageMessage(t=1509133720.9206712, n=125)
[DEBUG, 1509133720.9529963]: PiCamera image received: ImageMessage(t=1509133720.9529817, n=126)
[DEBUG, 1509133720.9921615]: PiCamera image received: ImageMessage(t=1509133720.9921196, n=127)
[DEBUG, 1509133721.0591664]: PiCamera image received: ImageMessage(t=1509133721.0591512, n=128)
[DEBUG, 1509133721.0924742]: PiCamera image received: ImageMessage(t=1509133721.0924585, n=129)
[DEBUG, 1509133721.1259198]: PiCamera image received: ImageMessage(t=1509133721.1259048, n=130)
[DEBUG, 1509133721.1921754]: PiCamera image received: ImageMessage(t=1509133721.1921608, n=131)
[DEBUG, 1509133721.2605941]: PiCamera image received: ImageMessage(t=1509133721.2605784, n=132)
[DEBUG, 1509133721.2940943]: PiCamera image received: ImageMessage(t=1509133721.29408, n=133)
